Image,Temporal Evidence,Material Analysis,Structural Analysis,Emergent Phenomena,Fibonacci Sequence,
1,Chronological Fragment (15%),Film Specimen (12%),Grid Analysis A (15%),Echo Pattern (12%),None,
2,Present State Record (10%),Digital Residue (15%),Void Formation (10%),Matrix Evidence (12%),None,
3,Linear Time Data (10%),Chemical Trace (8%),Pattern Disorder (8%),Horizon Document (10%),None,
4,Time Spiral (5%),Mixed Medium Sample (8%),Field Disruption (10%),Liminal Evidence (5%),Primary Golden Ratio (2%),
5,Archive Timeline (8%),Density Record (8%),System Decay (8%),Data Flow (10%),None,
6,Horizon Chronology (12%),Atmospheric Sample (10%),Linear Analysis (12%),Cloud Formation (15%),None,
7,Spectrum Timeline (5%),Digital Prism (5%),Quantum Trace (3%),Rainbow Pattern (5%),None,
8,Terrain Timeline (8%),Geological Sample (8%),Landscape Grid (8%),Mountain Data (10%),None,
9,Lunar Time Measure (5%),Ethereal Matter (8%),Void Structure (8%),Celestial Pattern (5%),Golden Spiral (5%),
10,Code Timeline (8%),Chromatic Sample (8%),Document Pattern (8%),Signal Evidence (8%),None,
11,Void Memory (8%),Mist Formation (12%),Spatial Analysis (8%),Negative Space Data (5%),None,
12,Desert Timeline (8%),Mineral Sample (8%),Parallel Structure (8%),Terrain Pattern (10%),None,
13,Linear Archive (10%),Geological Record (8%),Data Topology (8%),Memory Trace (8%),None,
14,Horizon Void (8%),Shadow Matter (8%),Quantum Field (3%),Cosmic Evidence (5%),None,
15,Fragment Record (8%),Mountain Sample (8%),Spatial Memory (8%),Dawn Pattern (8%),None,
16,Data Timeline (5%),Light Artifact (2%),Code Structure (5%),Color Evidence (8%),None,
17,Binary Anomaly (2%),Lunar Matter (5%),Portal Analysis (2%),Dual Reality (5%),None,
18,Wave Memory (8%),Fluid Sample (5%),Time Distortion (2%),Path Evidence (8%),None,
19,Static Record (8%),Void Matter (8%),Vertical Pattern (8%),Light Fragment (8%),None,
20,Horizon Archive (8%),Field Sample (8%),Edge Analysis (8%),Cloud Data (10%),None,
21,Spectrum Record (5%),Rainbow Matter (3%),Color Structure (5%),Prism Pattern (5%),None,
22,Fade Timeline (8%),Mist Gradient (8%),Horizontal Field (8%),Desert Void (8%),None,
23,Data Horizon (8%),Spectral Sample (5%),Quantum Grid (3%),Color Stream (8%),None,
24,Lunar Drift (5%),Desert Matter (8%),Spatial Section (8%),Moon Anomaly (3%),None,
25,Earth Timeline (5%),Native Sample (5%),Measure Grid (8%),Desert Pattern (8%),None,
26,Wave Record (8%),Terra Matter (5%),Curve Analysis (5%),Mountain Trace (8%),Golden Spiral (5%),
27,Horizon State (8%),Ethereal Sample (8%),Vertical Field (8%),Sky Void (5%),None,
28,Linear Sequence (8%),Mineral Light (5%),Gradient Pattern (8%),Dawn Spectrum (5%),None,
29,Color Timeline (5%),Pixel Structure (3%),Digital Field (5%),Circuit Evidence (3%),None,
30,Desert Record (8%),Ancient Matter (3%),Data Ridge (8%),Earth Code (5%),None,
31,Code Archive (8%),Data Sample (8%),Vertical Flow (8%),Cloud Matrix (5%),None,
32,Spectrum Anomaly (2%),Orbital Matter (2%),Diagonal Pattern (5%),Nebula Formation (2%),Fibonacci Sequence (2%),
33,Memory Fragment (8%),Human Trace (2%),Color Field (5%),Ghost Pattern (2%),None,
34,Light Archive (5%),Amber Sample (5%),Horizon Grid (8%),Dawn Trace (8%),None,
35,Void Echo (8%),Mist Field (8%),Edge Pattern (8%),Infinite Space (2%),Double Golden Points (5%),
36,Time Strata (2%),Cloud Matter (5%),Linear Archive (8%),Cosmic Field (3%),None,
